Postcode,Postcode Status,LSOA Code,LSOA Name,Index of Multiple Deprivation Rank,Index of Multiple Deprivation Decile
B28 8NG,Live,E01009045,Birmingham 097D E01009045,6932,3
B28 8NH,Terminated,E01009030,Birmingham 098D E01009030,10650,4
B28 8NJ,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 8NL,Terminated,E01009023,Birmingham 098C E01009023,13286,5
B28 8NN,Live,E01009023,Birmingham 098C E01009023,13286,5
B28 8NP,Live,E01009022,Birmingham 098B E01009022,5752,2
B28 8NQ,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 8NR,Live,E01009022,Birmingham 098B E01009022,5752,2
B28 8NS,Live,E01009022,Birmingham 098B E01009022,5752,2
B28 8NT,Live,E01009023,Birmingham 098C E01009023,13286,5
B28 8NU,Live,E01009023,Birmingham 098C E01009023,13286,5
B28 8NW,Live,E01009023,Birmingham 098C E01009023,13286,5
B28 8NX,Live,E01009023,Birmingham 098C E01009023,13286,5
B28 8NY,Live,E01009023,Birmingham 098C E01009023,13286,5
B28 8PA,Live,E01009023,Birmingham 098C E01009023,13286,5
B28 8PB,Live,E01009032,Birmingham 108A E01009032,14825,5
B28 8PD,Live,E01009023,Birmingham 098C E01009023,13286,5
B28 8PE,Live,E01009032,Birmingham 108A E01009032,14825,5
B28 8PF,Live,E01009023,Birmingham 098C E01009023,13286,5
B28 8PG,Live,E01009023,Birmingham 098C E01009023,13286,5
B28 8PH,Live,E01009023,Birmingham 098C E01009023,13286,5
B28 8PJ,Live,E01009023,Birmingham 098C E01009023,13286,5
B28 8PL,Live,E01009023,Birmingham 098C E01009023,13286,5
B28 8PN,Live,E01009024,Birmingham 103D E01009024,2483,1
B28 8PP,Terminated,E01009023,Birmingham 098C E01009023,13286,5
B28 8PR,Live,E01009023,Birmingham 098C E01009023,13286,5
B28 8PS,Live,E01009023,Birmingham 098C E01009023,13286,5
B28 8PT,Live,E01009023,Birmingham 098C E01009023,13286,5
B28 8PU,Live,E01009023,Birmingham 098C E01009023,13286,5
B28 8PX,Live,E01009023,Birmingham 098C E01009023,13286,5
B28 8PY,Live,E01009023,Birmingham 098C E01009023,13286,5
B28 8QA,Live,E01009023,Birmingham 098C E01009023,13286,5
B28 8QB,Live,E01009023,Birmingham 098C E01009023,13286,5
B28 8QD,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 8QH,Live,E01009023,Birmingham 098C E01009023,13286,5
B28 8QJ,Live,E01009023,Birmingham 098C E01009023,13286,5
B28 8QL,Live,E01009022,Birmingham 098B E01009022,5752,2
B28 8QN,Live,E01009023,Birmingham 098C E01009023,13286,5
B28 8QP,Live,E01009022,Birmingham 098B E01009022,5752,2
B28 8QR,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 8QT,Live,E01009033,Birmingham 103F E01009033,2925,1
B28 8QU,Live,E01009024,Birmingham 103D E01009024,2483,1
B28 8QY,Live,E01009024,Birmingham 103D E01009024,2483,1
B28 8QZ,Live,E01009024,Birmingham 103D E01009024,2483,1
B28 8RA,Live,E01009024,Birmingham 103D E01009024,2483,1
B28 8RB,Terminated,E01009024,Birmingham 103D E01009024,2483,1
B28 8RD,Live,E01009024,Birmingham 103D E01009024,2483,1
B28 8RH,Terminated,E01009030,Birmingham 098D E01009030,10650,4
B28 8RJ,Live,E01009030,Birmingham 098D E01009030,10650,4
B28 8RL,Live,E01009030,Birmingham 098D E01009030,10650,4
B28 8RN,Live,E01009022,Birmingham 098B E01009022,5752,2
B28 8RP,Live,E01009023,Birmingham 098C E01009023,13286,5
B28 8RW,Live,E01009023,Birmingham 098C E01009023,13286,5
B28 8RX,Live,E01009033,Birmingham 103F E01009033,2925,1
B28 8RY,Live,E01009023,Birmingham 098C E01009023,13286,5
B28 8SB,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 8SD,Terminated,E01009045,Birmingham 097D E01009045,6932,3
B28 8SE,Live,E01009043,Birmingham 097B E01009043,3819,2
B28 8SF,Live,E01009043,Birmingham 097B E01009043,3819,2
B28 8SG,Live,E01009043,Birmingham 097B E01009043,3819,2
B28 8SH,Live,E01009043,Birmingham 097B E01009043,3819,2
B28 8SJ,Live,E01009043,Birmingham 097B E01009043,3819,2
B28 8SL,Live,E01009043,Birmingham 097B E01009043,3819,2
B28 8SN,Live,E01009043,Birmingham 097B E01009043,3819,2
B28 8SP,Live,E01009014,Birmingham 090A E01009014,4791,2
B28 8SQ,Live,E01009043,Birmingham 097B E01009043,3819,2
B28 8SR,Live,E01009043,Birmingham 097B E01009043,3819,2
B28 8SS,Live,E01009043,Birmingham 097B E01009043,3819,2
B28 8ST,Live,E01009014,Birmingham 090A E01009014,4791,2
B28 8SU,Live,E01009014,Birmingham 090A E01009014,4791,2
B28 8SW,Live,E01009014,Birmingham 090A E01009014,4791,2
B28 8SX,Live,E01009017,Birmingham 097A E01009017,5873,2
B28 8SY,Live,E01009017,Birmingham 097A E01009017,5873,2
B28 8SZ,Live,E01033641,Birmingham 140G E01033641,3837,2
B28 8TA,Terminated,E01009017,Birmingham 097A E01009017,5873,2
B28 8TB,Live,E01009043,Birmingham 097B E01009043,3819,2
B28 8TD,Live,E01009043,Birmingham 097B E01009043,3819,2
B28 8TE,Live,E01009043,Birmingham 097B E01009043,3819,2
B28 8WA,Terminated,E01009043,Birmingham 097B E01009043,3819,2
B28 8WN,Terminated,E01009045,Birmingham 097D E01009045,6932,3
B28 8XB,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 8XR,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 8ZA,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 8ZR,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9AA,Live,E01009031,Birmingham 105C E01009031,13580,5
B28 9AB,Live,E01009045,Birmingham 097D E01009045,6932,3
B28 9AD,Live,E01009045,Birmingham 097D E01009045,6932,3
B28 9AE,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9AF,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9AG,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9AH,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9AJ,Live,E01009031,Birmingham 105C E01009031,13580,5
B28 9AN,Terminated,E01009031,Birmingham 105C E01009031,13580,5
B28 9AP,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9AQ,Terminated,E01009032,Birmingham 108A E01009032,14825,5
B28 9AR,Live,E01009030,Birmingham 098D E01009030,10650,4
B28 9AS,Live,E01009030,Birmingham 098D E01009030,10650,4
B28 9AT,Live,E01009030,Birmingham 098D E01009030,10650,4
B28 9AU,Live,E01009030,Birmingham 098D E01009030,10650,4
B28 9AW,Terminated,E01009031,Birmingham 105C E01009031,13580,5
B28 9AX,Live,E01009030,Birmingham 098D E01009030,10650,4
B28 9AY,Live,E01009030,Birmingham 098D E01009030,10650,4
B28 9AZ,Terminated,E01009031,Birmingham 105C E01009031,13580,5
B28 9BD,Terminated,E01009031,Birmingham 105C E01009031,13580,5
B28 9BE,Live,E01009031,Birmingham 105C E01009031,13580,5
B28 9BG,Live,E01009032,Birmingham 108A E01009032,14825,5
B28 9BH,Live,E01009031,Birmingham 105C E01009031,13580,5
B28 9BJ,Live,E01009031,Birmingham 105C E01009031,13580,5
B28 9BL,Live,E01009031,Birmingham 105C E01009031,13580,5
B28 9BP,Live,E01009032,Birmingham 108A E01009032,14825,5
B28 9BQ,Live,E01009031,Birmingham 105C E01009031,13580,5
B28 9BS,Live,E01009032,Birmingham 108A E01009032,14825,5
B28 9BU,Live,E01009031,Birmingham 105C E01009031,13580,5
B28 9DA,Live,E01009032,Birmingham 108A E01009032,14825,5
B28 9DB,Live,E01009032,Birmingham 108A E01009032,14825,5
